gameid,year,split,playoffs,date,game,patch,side,teamname,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs
LOLTMNT01_232663,2025,Rounds 1-2,0,2025-04-26T06:07:29Z,1,15.08,Blue,DN Freecs,Varus,Naafiri,Kalista,Sejuani,Skarner,Xin Zhao,Taliyah,Ambessa,Kai'Sa,Neeko,2403,1,17,18,34,17,18,0,0,0,0,0,0.4245,0.8739,0,1,4,0,4,0,0,0,0,0,0
LOLTMNT01_233515,2025,Rounds 1-2,0,2025-04-26T07:09:50Z,2,15.08,Red,DN Freecs,Vi,Naafiri,Gwen,Pantheon,Gnar,Renata Glasc,Skarner,Draven,Ahri,K'Sante,1735,0,7,15,16,7,15,0,0,0,0,0,0.2421,0.7608,0,1,3,1,3,0,0,1,0,0,0
LOLTMNT01_233535,2025,Rounds 1-2,0,2025-04-26T07:59:46Z,3,15.08,Blue,DN Freecs,Sejuani,Varus,Viego,Xayah,Jhin,Naafiri,Miss Fortune,Orianna,Gragas,Rakan,1807,0,5,15,9,5,15,0,0,0,0,1,0.166,0.6641,0,0,4,0,4,0,0,0,0,0,0
LOLTMNT01_237541,2025,Rounds 1-2,0,2025-04-30T11:18:31Z,1,15.08,Red,Hanwha Life Esports,Vi,Poppy,Naafiri,Kalista,Ezreal,Gwen,Xin Zhao,Varus,Ryze,Rakan,2090,1,15,7,45,15,7,0,0,0,0,0,0.4306,0.6316,0,2,3,2,3,0,0,0,2,0,0
LOLTMNT01_238088,2025,Rounds 1-2,0,2025-04-30T12:15:07Z,2,15.08,Red,Hanwha Life Esports,Vi,Naafiri,Azir,Nocturne,Lillia,Renata Glasc,Ashe,Poppy,Kennen,Sylas,1860,1,18,13,31,18,13,4,0,0,0,1,0.5806,0.9355,1,3,1,3,1,1,0,0,1,0,1
LOLTMNT01_239535,2025,Rounds 1-2,0,2025-05-03T08:29:23Z,1,15.08,Blue,DRX,Varus,Poppy,Alistar,Rakan,Ezreal,Naafiri,Gwen,Aurora,Nautilus,Jhin,2141,1,26,22,71,26,22,4,0,0,0,0,0.7286,1.3452,0,2,3,2,3,2,0,0,0,0,0
LOLTMNT01_240045,2025,Rounds 1-2,0,2025-05-03T09:27:45Z,2,15.08,Red,DRX,Vi,Kalista,Varus,Rakan,Ashe,Ezreal,Taliyah,Sion,Rell,Viego,2656,1,22,18,46,22,18,4,0,0,0,0,0.497,0.9036,1,4,3,4,3,0,1,0,0,0,3
LOLTMNT02_257604,2025,Rounds 1-2,0,2025-05-07T08:03:23Z,1,15.09,Red,OKSavingsBank BRION,Vi,Ryze,Azir,Xayah,Kalista,Gwen,Ahri,Wukong,Varus,Braum,1701,0,10,29,24,10,29,0,0,0,0,0,0.3527,1.3757,1,1,3,1,3,0,0,0,0,1,0
LOLTMNT02_258642,2025,Rounds 1-2,0,2025-05-07T08:53:24Z,2,15.09,Blue,OKSavingsBank BRION,Kalista,Lucian,Skarner,Shen,Rakan,Vi,Viktor,Sion,Miss Fortune,Nautilus,1769,1,14,11,36,14,11,3,1,0,0,0,0.4748,0.8479,0,1,3,1,3,0,0,0,0,1,0
LOLTMNT02_258663,2025,Rounds 1-2,0,2025-05-07T09:44:51Z,3,15.09,Red,OKSavingsBank BRION,Kalista,Lucian,Azir,Lulu,Elise,Nocturne,Orianna,Yorick,Kai'Sa,Neeko,1733,0,8,13,18,8,13,0,0,0,0,1,0.277,0.7271,0,0,4,0,4,0,0,0,0,0,0
LOLTMNT02_262780,2025,Rounds 1-2,0,2025-05-10T08:12:35Z,1,15.09,Blue,Gen.G,Varus,Naafiri,Kalista,Skarner,Karma,Pantheon,Ahri,Jayce,Xayah,Rakan,2140,1,15,10,40,15,10,0,0,0,0,1,0.4206,0.7009,1,3,2,3,2,2,0,1,0,0,0
LOLTMNT02_262815,2025,Rounds 1-2,0,2025-05-10T09:10:05Z,2,15.09,Red,Gen.G,Vi,Taliyah,Kalista,Ornn,Sion,Rumble,Zed,Galio,Zeri,Lulu,1872,1,15,7,38,15,7,3,0,0,0,1,0.4808,0.7051,1,2,2,2,2,0,1,0,0,1,0
LOLTMNT02_265983,2025,Rounds 1-2,0,2025-05-14T08:04:35Z,1,15.09,Red,Nongshim RedForce,Vi,Sion,Varus,Xayah,Ezreal,Jayce,Pantheon,Ahri,Kalista,Shen,1714,0,10,21,20,10,21,1,0,0,0,1,0.3501,1.0852,1,3,2,3,2,0,0,0,0,2,1
